iter	MultiClass
0	1.085423333
1	1.073723417
2	1.061429883
3	1.050896944
4	1.041515233
5	1.031956841
6	1.021846835
7	1.014309117
8	1.00715952
9	1.000608426
10	0.9929462415
11	0.9854439429
12	0.9795397509
13	0.9738854244
14	0.9690226262
15	0.963238541
16	0.9586755338
17	0.9547337644
18	0.9497744673
19	0.9459994672
20	0.9408713364
21	0.9364956746
22	0.9317934018
23	0.9270275105
24	0.9234000935
25	0.9202786992
26	0.9180924868
27	0.9135915505
28	0.9100665249
29	0.9074312957
30	0.9042743335
31	0.9017613863
32	0.898461341
33	0.8960735651
34	0.8926675438
35	0.8900793178
36	0.8872862764
37	0.8847568549
38	0.882780542
39	0.8799606361
40	0.8784592492
41	0.8766823805
42	0.8743755642
43	0.8721287198
44	0.8698629196
45	0.8673420987
46	0.8650711565
47	0.8626439225
48	0.8603240041
49	0.8577986081
50	0.8557401791
51	0.8538407115
52	0.8527972316
53	0.8515040959
54	0.8504002138
55	0.848759389
56	0.8474831642
57	0.8462406165
58	0.8444650274
59	0.8427617174
60	0.8410000023
61	0.8388868719
62	0.8375610827
63	0.8357183214
64	0.834860923
65	0.8333600899
66	0.831731344
67	0.8302136764
68	0.8289404554
69	0.8276301128
70	0.826060412
71	0.8245868565
72	0.8230370304
73	0.822121872
74	0.8204076075
75	0.8184505839
76	0.8171997299
77	0.8159411358
78	0.8146151348
79	0.8134428866
80	0.811829788
81	0.8108126312
82	0.8095261532
83	0.808313585
84	0.8072239704
85	0.8061823632
86	0.8050435604
87	0.8039696594
88	0.80268067
89	0.8015818481
90	0.8004768265
91	0.7992438964
92	0.7987460476
93	0.797641994
94	0.7963560085
95	0.7952866374
96	0.794473845
97	0.7935628837
98	0.7926359985
99	0.7917179135
100	0.7908163672
101	0.7901892711
102	0.7890188042
103	0.7883951978
104	0.7873827003
105	0.7863409319
106	0.7853830314
107	0.7843492682
108	0.7835004943
109	0.7828901406
110	0.7819235479
111	0.7812167845
112	0.7807122636
113	0.7800861484
114	0.7794999707
115	0.7790070259
116	0.7782128131
117	0.7771966613
118	0.7761689386
119	0.7755011382
120	0.7746814788
121	0.7739508656
122	0.7735379478
123	0.7731826676
124	0.7725519524
125	0.7720137431
126	0.771061167
127	0.7707172816
128	0.7699476237
129	0.7694393581
130	0.768722336
131	0.7682533213
132	0.7677256071
133	0.7667936578
134	0.7663767114
135	0.7658954511
136	0.7651608311
137	0.7643181826
138	0.7638905478
139	0.763106559
140	0.7620739165
141	0.7611389347
142	0.7608336703
143	0.7602516651
144	0.7598212518
145	0.7594642807
146	0.7590099029
147	0.7585748949
148	0.758069778
149	0.7576164939
150	0.7573007245
151	0.7568963406
152	0.7562019415
153	0.7558334658
154	0.7554965135
155	0.7551460088
156	0.7545575451
157	0.7537855543
158	0.7530504303
159	0.752716788
160	0.7523649659
161	0.7520731464
162	0.7517639656
163	0.7510975008
164	0.7506685704
165	0.7502626193
166	0.749684045
167	0.7491531487
168	0.7486433719
169	0.748085032
170	0.7477238256
171	0.7474176766
172	0.7470367762
173	0.7466796052
174	0.7464311562
175	0.74612316
176	0.7457025765
177	0.7453338093
178	0.745024278
179	0.7446247236
180	0.7439324974
181	0.7436855392
182	0.7432475857
183	0.7425113753
184	0.7420880868
185	0.7417822013
186	0.7414408567
187	0.7411272097
188	0.7404900616
189	0.740175819
190	0.7396644469
191	0.7391668556
192	0.7389144778
193	0.7384790553
194	0.7382007276
195	0.737807207
196	0.7374232947
197	0.7369997448
198	0.7363405264
199	0.7360909031
200	0.735753632
201	0.7355369936
202	0.7349106116
203	0.7344983009
204	0.7341797334
205	0.7336436336
206	0.7330631011
207	0.7324545328
208	0.7318331977
209	0.7314574932
210	0.7312024848
211	0.7309105649
212	0.7305360215
213	0.7301116183
214	0.7297430913
215	0.7292546615
216	0.7289094283
217	0.7285592083
218	0.7283138491
219	0.728076419
220	0.7275907254
221	0.7273973162
222	0.727032489
223	0.7266270119
224	0.7262066184
225	0.7255923027
226	0.7252797438
227	0.7248742736
228	0.7246017075
229	0.7243115013
230	0.7238697765
231	0.7234971466
232	0.7229084228
233	0.7226466813
234	0.7217662748
235	0.7214081815
236	0.7210719352
237	0.7205974856
238	0.720125041
239	0.719722581
240	0.7193792533
241	0.7191158291
242	0.718788122
243	0.7184623089
244	0.7180761579
245	0.7178406988
246	0.7173775449
247	0.717067999
248	0.7167052915
249	0.7161185122
250	0.71550069
251	0.7148266696
252	0.7143923956
253	0.7139184016
254	0.7136031987
255	0.7130919788
256	0.712848734
257	0.712602456
258	0.712105117
259	0.711925322
260	0.7114883882
261	0.7108508611
262	0.7104938662
263	0.7101830456
264	0.7097903533
265	0.7093877623
266	0.7088328901
267	0.7084737178
268	0.7081574253
269	0.707883198
270	0.7074172486
271	0.7070000074
272	0.706404234
273	0.7056984588
274	0.7051528027
275	0.7048335566
276	0.7042220116
277	0.7037921609
278	0.7031563079
279	0.7024829376
280	0.7019113352
281	0.7016039922
282	0.7013261275
283	0.7008641801
284	0.7006199794
285	0.7001395896
286	0.6998396936
287	0.6993270625
288	0.6989383469
289	0.6986797876
290	0.6983535182
291	0.698062442
292	0.697732335
293	0.6972868881
294	0.6969426831
295	0.6966837555
296	0.6960576071
297	0.6955540332
298	0.6947902676
299	0.6942581634
300	0.6940095031
301	0.6934851069
302	0.692793613
303	0.6924356921
304	0.6922046905
305	0.6919043484
306	0.6915455321
307	0.6912139778
308	0.6907254538
309	0.6904780045
310	0.6899900204
311	0.6895803186
312	0.6892624465
313	0.6887596757
314	0.6884211863
315	0.687850473
316	0.6874376686
317	0.6871611102
318	0.6868346731
319	0.6862581641
320	0.6858195151
321	0.6853921774
322	0.6848912298
323	0.684382548
324	0.6839285715
325	0.6834764976
326	0.6831553375
327	0.6827718264
328	0.6822014524
329	0.6817695381
330	0.6813580758
331	0.6810182228
332	0.6806510588
333	0.6802879679
334	0.6799686977
335	0.6797529524
336	0.6796280844
337	0.6793464658
338	0.6791425047
339	0.6789669913
340	0.6786329714
341	0.6783108953
342	0.6779685352
343	0.6776286489
344	0.6772987171
345	0.6768581577
346	0.6766186558
347	0.6762761247
348	0.6760038025
349	0.6756761028
350	0.6754073702
351	0.6747672696
352	0.67441768
353	0.6741068791
354	0.673785466
355	0.6735128399
356	0.6733118699
357	0.673114692
358	0.6725853257
359	0.6721743276
360	0.6720298151
361	0.6716314904
362	0.6713291262
363	0.6710707742
364	0.6708295818
365	0.6706282167
366	0.6702069649
367	0.6696816627
368	0.6692727853
369	0.6689744677
370	0.6687763751
371	0.6682483833
372	0.6679235415
373	0.6676264019
374	0.6673191855
375	0.6670360173
376	0.666629722
377	0.6663459428
378	0.6661056814
379	0.6654590999
380	0.6652335964
381	0.664933373
382	0.6644549822
383	0.6641995685
384	0.6637538699
385	0.6633311041
386	0.6628394743
387	0.662544952
388	0.662256502
389	0.6618602517
390	0.6616266157
391	0.6612487472
392	0.660734086
393	0.660416663
