iter	Passed	Remaining
0	9	4556
1	17	4360
2	25	4169
3	33	4177
4	41	4092
5	49	4082
6	57	4037
7	65	4023
8	73	4014
9	81	4003
10	89	3991
11	97	3969
12	105	3969
13	115	3997
14	124	4017
15	134	4061
16	145	4125
17	154	4145
18	163	4143
19	173	4157
20	181	4147
21	190	4133
22	198	4112
23	206	4101
24	215	4085
25	223	4069
26	231	4056
27	239	4034
28	247	4018
29	255	4009
30	263	3991
31	271	3976
32	280	3973
33	289	3964
34	297	3956
35	306	3951
36	314	3940
37	323	3928
38	331	3918
39	339	3908
40	347	3895
41	356	3888
42	364	3877
43	372	3865
44	381	3856
45	389	3844
46	397	3832
47	405	3819
48	413	3808
49	422	3799
50	430	3791
51	439	3784
52	447	3777
53	455	3765
54	464	3756
55	472	3749
56	481	3743
57	490	3734
58	497	3722
59	505	3710
60	514	3699
61	522	3688
62	529	3675
63	538	3666
64	545	3650
65	557	3662
66	571	3691
67	585	3717
68	598	3738
69	608	3739
70	616	3726
71	628	3734
72	636	3725
73	645	3716
74	653	3703
75	661	3691
76	669	3679
77	678	3668
78	685	3654
79	693	3643
80	702	3633
81	711	3625
82	719	3614
83	727	3601
84	735	3590
85	743	3580
86	751	3569
87	760	3559
88	768	3547
89	776	3536
90	784	3525
91	792	3513
92	800	3501
93	808	3490
94	816	3479
95	825	3472
96	833	3463
97	841	3453
98	851	3447
99	859	3438
100	867	3426
101	875	3416
102	883	3406
103	892	3397
104	900	3386
105	908	3376
106	916	3365
107	924	3354
108	932	3345
109	941	3338
110	950	3330
111	958	3319
112	966	3308
113	974	3300
114	983	3293
115	992	3284
116	1000	3275
117	1008	3265
118	1017	3257
119	1026	3251
120	1035	3244
121	1044	3236
122	1053	3229
123	1063	3224
124	1072	3218
125	1082	3213
126	1092	3209
127	1104	3210
128	1116	3210
129	1129	3214
130	1139	3211
131	1149	3203
132	1158	3195
133	1167	3187
134	1175	3178
135	1183	3168
136	1193	3162
137	1201	3152
138	1210	3143
139	1218	3133
140	1226	3123
141	1234	3113
142	1244	3106
143	1254	3101
144	1263	3093
145	1273	3087
146	1281	3078
147	1290	3069
148	1299	3060
149	1308	3052
150	1316	3042
151	1324	3032
152	1333	3023
153	1340	3012
154	1349	3002
155	1357	2993
156	1367	2987
157	1376	2979
158	1385	2972
159	1394	2963
160	1403	2956
161	1412	2947
162	1420	2937
163	1429	2928
164	1437	2918
165	1445	2908
166	1454	2899
167	1462	2890
168	1471	2881
169	1479	2872
170	1487	2862
171	1496	2853
172	1504	2843
173	1512	2833
174	1520	2824
175	1528	2814
176	1537	2806
177	1546	2798
178	1556	2790
179	1565	2782
180	1573	2772
181	1581	2763
182	1589	2753
183	1598	2744
184	1606	2735
185	1614	2726
186	1623	2717
187	1631	2707
188	1640	2698
189	1648	2688
190	1656	2680
191	1665	2671
192	1673	2662
193	1681	2652
194	1691	2645
195	1700	2638
196	1709	2630
197	1718	2621
198	1726	2612
199	1735	2602
200	1743	2593
201	1751	2584
202	1760	2576
203	1768	2566
204	1776	2556
205	1784	2547
206	1792	2537
207	1801	2529
208	1809	2519
209	1817	2510
210	1826	2501
211	1834	2492
212	1843	2484
213	1852	2475
214	1861	2467
215	1870	2459
216	1878	2450
217	1887	2441
218	1895	2432
219	1903	2422
220	1911	2413
221	1919	2404
222	1927	2394
223	1936	2385
224	1944	2376
225	1952	2367
226	1960	2357
227	1968	2348
228	1977	2340
229	1985	2330
230	1994	2322
231	2003	2314
232	2012	2305
233	2020	2296
234	2028	2287
235	2036	2278
236	2045	2269
237	2053	2260
238	2061	2251
239	2070	2242
240	2080	2235
241	2089	2227
242	2099	2220
243	2109	2213
244	2118	2205
245	2126	2195
246	2135	2186
247	2142	2177
248	2152	2169
249	2161	2161
250	2170	2153
251	2180	2146
252	2189	2137
253	2198	2129
254	2206	2119
255	2213	2110
256	2221	2100
257	2230	2091
258	2239	2083
259	2246	2073
260	2254	2064
261	2262	2055
262	2270	2046
263	2279	2037
264	2287	2028
265	2295	2019
266	2304	2010
267	2312	2001
268	2321	1993
269	2329	1984
270	2337	1975
271	2346	1966
272	2354	1957
273	2362	1948
274	2369	1938
275	2377	1929
276	2386	1921
277	2395	1912
278	2403	1903
279	2412	1895
280	2420	1886
281	2430	1878
282	2438	1869
283	2447	1861
284	2455	1852
285	2463	1843
286	2471	1834
287	2479	1825
288	2487	1816
289	2495	1807
290	2503	1798
291	2511	1788
292	2519	1779
293	2527	1770
294	2535	1762
295	2543	1752
296	2551	1743
297	2559	1735
298	2568	1726
299	2577	1718
300	2585	1709
301	2594	1700
302	2602	1692
303	2610	1683
304	2618	1674
305	2627	1665
306	2635	1657
307	2643	1648
308	2651	1638
309	2659	1629
310	2667	1621
311	2676	1612
312	2684	1603
313	2691	1594
314	2700	1585
315	2708	1576
316	2717	1568
317	2725	1560
318	2734	1551
319	2742	1542
320	2750	1533
321	2758	1525
322	2767	1516
323	2774	1507
324	2782	1498
325	2790	1489
326	2799	1480
327	2807	1472
328	2815	1463
329	2824	1455
330	2832	1446
331	2842	1438
332	2850	1429
333	2860	1421
334	2869	1413
335	2877	1404
336	2885	1395
337	2893	1386
338	2901	1377
339	2909	1369
340	2917	1360
341	2926	1351
342	2935	1343
343	2943	1335
344	2951	1326
345	2959	1317
346	2967	1308
347	2976	1299
348	2984	1291
349	2995	1283
350	3005	1275
351	3013	1267
352	3023	1258
353	3032	1250
354	3040	1242
355	3049	1233
356	3058	1225
357	3068	1216
358	3078	1209
359	3089	1201
360	3097	1192
361	3106	1184
362	3116	1176
363	3125	1167
364	3134	1159
365	3144	1151
366	3153	1142
367	3162	1134
368	3171	1125
369	3179	1117
370	3187	1108
371	3195	1099
372	3203	1090
373	3212	1082
374	3220	1073
375	3228	1064
376	3237	1056
377	3245	1047
378	3253	1038
379	3262	1030
380	3271	1021
381	3279	1012
382	3288	1004
383	3296	995
384	3305	987
385	3314	978
386	3324	970
387	3333	962
388	3342	953
389	3351	945
390	3360	936
391	3368	928
392	3377	919
393	3385	910
394	3394	902
395	3403	893
396	3412	885
397	3421	876
398	3430	868
399	3438	859
400	3446	850
401	3455	842
402	3463	833
403	3471	825
404	3480	816
405	3489	807
406	3497	799
407	3505	790
408	3513	781
409	3522	773
410	3531	764
411	3539	756
412	3549	747
413	3558	739
414	3566	730
415	3574	721
416	3582	713
417	3590	704
418	3598	695
419	3607	687
420	3614	678
421	3623	669
422	3631	660
423	3639	652
424	3647	643
425	3656	635
426	3665	626
427	3672	617
428	3681	609
429	3690	600
430	3698	592
431	3706	583
432	3714	574
433	3722	566
434	3731	557
435	3739	548
436	3747	540
437	3755	531
438	3764	523
439	3772	514
440	3780	505
441	3789	497
442	3796	488
443	3805	479
444	3812	471
445	3821	462
446	3829	454
447	3838	445
448	3846	436
449	3855	428
450	3864	419
451	3871	411
452	3880	402
453	3888	393
454	3897	385
455	3906	376
456	3915	368
457	3924	359
458	3932	351
459	3941	342
460	3949	334
461	3957	325
462	3965	316
463	3975	308
464	3984	299
465	3993	291
466	4002	282
467	4010	274
468	4018	265
469	4027	257
470	4036	248
471	4045	239
472	4055	231
473	4065	223
474	4075	214
475	4084	205
476	4093	197
477	4115	189
478	4126	180
479	4134	172
480	4143	163
481	4152	155
482	4160	146
483	4169	137
484	4178	129
485	4186	120
486	4194	111
487	4202	103
488	4211	94
489	4219	86
490	4228	77
491	4237	68
492	4246	60
493	4256	51
494	4265	43
495	4274	34
496	4281	25
497	4290	17
498	4299	8
499	4307	0
