Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level,Temperature_Band,Temperature_x_Humidity,CO2_sum,co2_ratio,MetalOxideSensor_sum,avg_metal_oxide,mos_variance,time_index,is_daytime,hvac_active,Session_ID_Bands,Temperature_session_lag1,Temperature_session_lag2,Temperature_session_lag3,Temperature_session_roll_mean_3,Temperature_session_roll_std_3,Temperature_session_roll_mean_5,Temperature_session_roll_std_5,Temperature_session_roll_mean_10,Temperature_session_roll_std_10,Humidity_session_lag1,Humidity_session_lag2,Humidity_session_lag3,Humidity_session_roll_mean_3,Humidity_session_roll_std_3,Humidity_session_roll_mean_5,Humidity_session_roll_std_5,Humidity_session_roll_mean_10,Humidity_session_roll_std_10,CO2_InfraredSensor_session_lag1,CO2_InfraredSensor_session_lag2,CO2_InfraredSensor_session_lag3,CO2_InfraredSensor_session_roll_mean_3,CO2_InfraredSensor_session_roll_std_3,CO2_InfraredSensor_session_roll_mean_5,CO2_InfraredSensor_session_roll_std_5,CO2_InfraredSensor_session_roll_mean_10,CO2_InfraredSensor_session_roll_std_10,MetalOxideSensor_Unit1_session_lag1,MetalOxideSensor_Unit1_session_lag2,MetalOxideSensor_Unit1_session_lag3,MetalOxideSensor_Unit1_session_roll_mean_3,MetalOxideSensor_Unit1_session_roll_std_3,MetalOxideSensor_Unit1_session_roll_mean_5,MetalOxideSensor_Unit1_session_roll_std_5,MetalOxideSensor_Unit1_session_roll_mean_10,MetalOxideSensor_Unit1_session_roll_std_10,MetalOxideSensor_Unit2_session_lag1,MetalOxideSensor_Unit2_session_lag2,MetalOxideSensor_Unit2_session_lag3,MetalOxideSensor_Unit2_session_roll_mean_3,MetalOxideSensor_Unit2_session_roll_std_3,MetalOxideSensor_Unit2_session_roll_mean_5,MetalOxideSensor_Unit2_session_roll_std_5,MetalOxideSensor_Unit2_session_roll_mean_10,MetalOxideSensor_Unit2_session_roll_std_10,avg_metal_oxide_session_lag1,avg_metal_oxide_session_lag2,avg_metal_oxide_session_lag3,avg_metal_oxide_session_roll_mean_3,avg_metal_oxide_session_roll_std_3,avg_metal_oxide_session_roll_mean_5,avg_metal_oxide_session_roll_std_5,avg_metal_oxide_session_roll_mean_10,avg_metal_oxide_session_roll_std_10,co2_ratio_session_lag1,co2_ratio_session_lag2,co2_ratio_session_lag3,co2_ratio_session_roll_mean_3,co2_ratio_session_roll_std_3,co2_ratio_session_roll_mean_5,co2_ratio_session_roll_std_5,co2_ratio_session_roll_mean_10,co2_ratio_session_roll_std_10,HVAC_prev_session,HVAC_changed_session,time_since_last_change_session
morning,15.97,45.33,520.1,617.23,607.72,796.09,766.38,718.23,extremely low,1374,heating_active,,Low Activity,14-16,723.9201,1137.33,0.8426356449903024,2888.42,722.105,82.73048551370488,318,1,1,1000-2000,17.29,18.439999999999998,15.94,17.223333333333333,1.2513326229797306,17.223333333333333,1.2513326229797306,17.223333333333333,1.2513326229797306,49.05,52.25,45.39,48.89666666666667,3.4325694943195733,48.89666666666667,3.4325694943195733,48.89666666666667,3.4325694943195733,527.49,563.92,515.47,535.6266666666667,25.22904344863936,535.6266666666667,25.22904344863936,535.6266666666667,25.22904344863936,575.84,491.91,603.43,557.0600000000001,58.08350798634666,557.0600000000001,58.08350798634666,557.0600000000001,58.08350798634666,775.54,759.61,796.94,777.3633333333333,18.731674600348345,777.3633333333333,18.731674600348345,777.3633333333333,18.731674600348345,693.2425,653.5975,722.5584999999999,689.7995,34.60918327554117,689.7995,34.60918327554117,689.7995,34.60918327554117,0.8739644759858765,0.9549872972819858,0.8191685458806082,0.8827067730494901,0.06833011141889542,0.8827067730494901,0.06833011141889542,0.8827067730494901,0.06833011141889542,cooling_active,1,0
evening,22.64,45.84,570.17,590.9,465.97,731.08,676.96,610.58,low,1374,off,moderate,Moderate Activity,22-24,1037.8176,1161.07,0.9649179201812186,2484.59,621.1475,114.58900219916396,323,0,0,1000-2000,15.97,17.29,18.439999999999998,17.23333333333333,1.2359746491467096,16.91,1.1985824961178093,16.91,1.1985824961178093,45.33,49.05,52.25,48.876666666666665,3.4632547312222575,48.004999999999995,3.32194220298909,48.004999999999995,3.32194220298909,520.1,527.49,563.92,537.17,23.459004667717664,531.745,22.01376311916402,531.745,22.01376311916402,607.72,575.84,491.91,558.49,59.822703884060594,569.725,53.76558533733886,569.725,53.76558533733886,796.09,775.54,759.61,777.0799999999999,18.28869322833102,782.0450000000001,17.932905509147176,782.0450000000001,17.932905509147176,722.105,693.2425,653.5975,689.6483333333332,34.394882098697984,697.875875,32.54906620108325,697.875875,32.54906620108325,0.8426356449903024,0.8739644759858765,0.9549872972819858,0.8905291394193883,0.05797856930941793,0.8726889910346932,0.05927978781729116,0.8726889910346932,0.05927978781729116,heating_active,1,0
evening,22.36,46.67,576.92,586.63,436.76,722.57,677.614,623.04,medium,1374,eco_mode,very_dim,Low Activity,22-24,1043.5412000000001,1163.55,0.9834478274492476,2459.984,614.996,125.59983682579636,420,0,1,1000-2000,22.64,15.97,17.29,18.633333333333333,3.532086257912358,18.056,2.764783897522553,18.056,2.764783897522553,45.84,45.33,49.05,46.74,2.016705233791012,47.572,3.0354439543500065,47.572,3.0354439543500065,570.17,520.1,527.49,539.2533333333334,27.028378296400465,539.4300000000001,25.666134301838277,539.4300000000001,25.666134301838277,465.97,607.72,575.84,549.8433333333334,74.36488172069753,548.9739999999999,65.73487377336322,548.9739999999999,65.73487377336322,731.08,796.09,775.54,767.57,33.229741196705106,771.8520000000001,27.580392854344947,771.8520000000001,27.580392854344947,621.1475,722.105,693.2425,678.8316666666667,51.99863738198662,682.5301999999999,44.40754427966037,682.5301999999999,44.40754427966037,0.9649179201812186,0.8426356449903024,0.8739644759858765,0.8938393470524658,0.06351768715406685,0.8911347768639983,0.0658544228359057,0.8911347768639983,0.0658544228359057,off,1,0
morning,17.59,47.27,528.5699999999999,617.46,502.05,780.4,734.51,678.24,extremely low,1374,eco_mode,bright,Moderate Activity,16-18,831.4793000000001,1146.03,0.8560392562173431,2695.2,673.8,121.88387943721952,531,1,1,1000-2000,22.36,22.64,15.97,20.323333333333334,3.7726957647461186,19.339999999999996,3.0157834802916463,18.77333333333333,3.0335831398968884,46.67,45.84,45.33,45.946666666666665,0.6763381797099902,47.828,2.8539656620218823,47.42166666666666,2.7398424528915286,576.92,570.17,520.1,555.7299999999999,31.040510627243187,551.72,26.03459141219621,545.6783333333333,27.590766148598814,436.76,465.97,607.72,503.48333333333335,91.44543746591917,515.6400000000001,73.06682318261818,530.2716666666666,74.53537775222355,722.57,731.08,796.09,749.9133333333333,40.215897768585684,756.9780000000001,30.560761934218934,763.6383333333333,31.832819175603483,614.996,621.1475,722.105,652.7495,60.14232514003775,661.0177,46.18653765790415,671.2745,48.350477620184854,0.9834478274492476,0.9649179201812186,0.8426356449903024,0.9303337975402562,0.07651185422107272,0.9239906331777261,0.0618309074493888,0.9065202852948732,0.06992658452762684,eco_mode,0,1
evening,21.31,49.02,572.33,589.12,428.47,698.58,628.69,562.26,medium,1374,heating_active,moderate,Low Activity,20-22,1044.6162,1161.45,0.9714998625551673,2318.0,579.5,115.04633993888436,620,0,1,1000-2000,17.59,22.36,22.64,20.863333333333333,2.8382447627597758,19.169999999999998,3.101926820542354,18.604285714285712,2.805155118366048,47.27,46.67,45.84,46.593333333333334,0.7180761333823842,46.832,1.4472111110684607,47.4,2.5017793667707795,528.5699999999999,576.92,570.17,558.5533333333333,26.18474428619334,544.65,26.685004215851258,543.2342857142856,26.00363234700289,502.05,436.76,465.97,468.26,32.70518460427948,517.668,72.38102976609265,526.24,68.8722183951313,780.4,722.57,731.08,744.6833333333334,31.22283192366339,761.136,32.369192606551124,766.0328571428572,29.741831211435606,673.8,614.996,621.1475,636.6478333333333,32.32139932124463,665.0581999999999,46.25874151795526,671.6352857142857,44.14806605131674,0.8560392562173431,0.9834478274492476,0.9649179201812186,0.9348016679492698,0.06883659994663166,0.9042010249647976,0.06517418573172445,0.899308709712369,0.06662447330441962,eco_mode,1,0
afternoon,19.74,47.33,556.4,599.54,551.69,760.22,718.182,635.57,extremely low,1374,ventilation_only,moderate,Moderate Activity,18-20,934.2941999999999,1155.94,0.9280448328250912,2665.6620000000003,666.4155000000001,92.36240209630755,708,1,1,1000-2000,21.31,17.59,22.36,20.419999999999998,2.506451675177474,19.974,3.012512240639031,18.9425,2.7676485635695456,49.02,47.27,46.67,47.653333333333336,1.220996860492834,46.826,1.4357332621347239,47.6025,2.385963417274337,572.33,528.5699999999999,576.92,559.2733333333332,26.688724835280826,553.6179999999999,27.00902386240575,546.87125,26.180346738672952,428.47,502.05,436.76,455.76,40.30203592872199,488.1940000000001,72.7749478186002,514.0187500000001,72.53018690517759,698.58,780.4,722.57,733.85,42.0601581071684,745.744,40.964216457781845,757.60125,36.427248606934754,579.5,673.8,614.996,622.7653333333333,47.6276642859311,642.3097,55.89692349941987,660.118375,52.26595099089024,0.9714998625551673,0.8560392562173431,0.9834478274492476,0.936995648740586,0.0703643488143008,0.9237081022786559,0.0683793687148933,0.9083326038177186,0.06675438978473218,heating_active,1,0
morning,17.92,48.54,566.46,589.61,487.48,748.78,688.44,630.2,low,1374,off,very_bright,Moderate Activity,16-18,869.8368,1156.0700000000002,0.9607367565666513,2554.9,638.725,111.85021218874225,709,1,0,1000-2000,19.74,21.31,17.59,19.546666666666667,1.8675206379939433,20.727999999999998,2.090519074297098,19.031111111111112,2.6025105400576396,47.33,49.02,47.27,47.873333333333335,0.9934955124877762,47.226000000000006,1.1684733629826625,47.57222222222222,2.2337120325692044,556.4,572.33,528.5699999999999,552.4333333333333,22.148030010213965,560.8779999999999,19.61309944909288,547.93,24.694590500755435,551.69,428.47,502.05,494.07,61.99639021749575,476.988,50.749820886383226,518.2044444444444,68.99804238366313,760.22,698.58,780.4,746.4,42.62478621647267,738.5699999999999,32.13164950636684,757.8922222222222,34.085750240304904,666.4155000000001,579.5,673.8,639.9051666666666,52.44254789847032,631.1718,39.023710216674665,660.8180555555556,48.935359452830994,0.9280448328250912,0.9714998625551673,0.8560392562173431,0.9185279838658671,0.058315655827222125,0.9407899398456137,0.05169639806391293,0.9105228514852046,0.06278777468341115,ventilation_only,1,0
morning,17.29,47.5,525.87,610.44,504.69,767.6,737.38,666.4,low,1374,heating_active,very_dim,Low Activity,16-18,821.275,1136.31,0.8614605843957464,2676.07,669.0175,117.4766916952749,773,1,1,1000-2000,17.92,19.74,21.31,19.656666666666666,1.6965356858413854,19.784,2.076928019937136,18.919999999999998,2.4787003763173057,48.54,47.33,49.02,48.29666666666666,0.8708807802066426,47.766000000000005,0.9758227298029173,47.669,2.1280844281497235,566.46,556.4,572.33,565.0633333333334,8.056316362540258,560.136,19.24031782481795,549.783,24.008348571093183,487.48,551.69,428.47,489.21333333333337,61.628284361430474,481.28999999999996,50.493383229884486,515.132,65.77354344854605,748.78,760.22,698.58,735.86,32.78821739588789,742.11,32.07513678848469,756.981,32.265282838783044,638.725,666.4155000000001,579.5,628.2135000000001,44.400954485799375,634.6872999999999,38.68517278880887,658.60875,46.66267605750039,0.9607367565666513,0.9280448328250912,0.9714998625551673,0.9534271506489699,0.022630900472900225,0.9399537071227002,0.05124034037631661,0.9155442419933492,0.061289594761929786,off,1,0
afternoon,16.17,48.19,531.4,613.55,579.47,776.23,751.53,690.21,extremely low,1374,off,very_bright,Moderate Activity,16-18,779.2323,1144.9499999999998,0.8661070803257973,2797.44,699.36,87.726925551205,787,1,0,1000-2000,17.29,17.92,19.74,18.316666666666666,1.272255215486775,18.770000000000003,1.7101023361190972,19.055,2.330709238741622,47.5,48.54,47.33,47.79,0.6550572494065031,47.932,0.7969755328741399,47.88,1.976197246115772,525.87,566.46,556.4,549.5766666666667,21.13777266727352,549.926,21.51740528037718,550.823,22.536983949844682,504.69,487.48,551.69,514.62,33.23679737880903,494.87600000000003,44.27208239963398,505.258,57.99709854811703,767.6,748.78,760.22,758.8666666666667,9.482707067779993,751.1160000000001,31.53429054220187,754.047,29.438059662054282,669.0175,638.725,666.4155000000001,658.0526666666666,16.78873506501747,645.4916000000001,39.34882850448025,653.25465,41.26978409741469,0.8614605843957464,0.9607367565666513,0.9280448328250912,0.9167473912624963,0.05059311939011061,0.9155562585119998,0.054303646853624765,0.9197734458448631,0.055041030554463924,heating_active,1,0
morning,16.56,47.32,525.12,610.69,530.91,785.04,741.85,697.01,extremely low,1374,maintenance_mode,very_bright,Low Activity,16-18,783.6192,1135.81,0.8598798066778892,2754.8099999999995,688.7024999999999,111.16512983695323,955,1,1,1000-2000,16.17,17.29,17.92,17.12666666666667,0.8863595959503698,18.486,2.0409630079940175,18.828,2.501545300187243,48.19,47.5,48.54,48.07666666666666,0.5291817583149788,48.116,0.7070572819793453,47.474000000000004,1.2692534988899753,531.4,525.87,566.46,541.2433333333333,22.01261986528039,550.492,20.841827415080562,547.5709999999999,22.782076995353666,579.47,504.69,487.48,523.88,48.90533815443883,510.36,58.62161802611714,514.014,62.21427796110971,776.23,767.6,748.78,764.2033333333334,14.036688830821967,750.282,30.607713406917604,755.7090000000001,30.245128698684702,699.36,669.0175,638.725,669.0341666666667,30.317503435859347,650.6036,45.17493084305717,657.8309,43.77330595351465,0.8661070803257973,0.8614605843957464,0.9607367565666513,0.8961014737627316,0.056023988776808864,0.9175698233336907,0.05166773580075297,0.9108854241492441,0.055892485639692575,off,1,0
